기간,구분,주택종류별,화재건수,사망,부상,인명피해/건,재산피해,재산피해/건
2017,단독주택,소계,1016,13,60,0.07,1596260,1571.1
2017,단독주택,단독주택,269,5,13,0.07,565781,2103.3
2017,단독주택,다중주택,53,-,4,0.08,72955,1376.5
2017,단독주택,다가구주택,591,6,34,0.07,748974,1267.3
2017,단독주택,상가주택,93,2,9,0.12,200944,2160.7
2017,단독주택,기타 단독주택,10,-,-,-,7606,760.6
2017,공동주택,소계,1520,9,79,0.06,2229666,1466.9
2017,공동주택,아파트,728,7,33,0.05,1279740,1757.9
2017,공동주택,주상복합아파트,68,-,2,0.03,135879,1998.2
2017,공동주택,연립주택,120,1,7,0.07,118466,987.2
2017,공동주택,다세대주택,554,1,36,0.07,658517,1188.7
2017,공동주택,기숙사,3,-,-,-,393,131
2017,공동주택,기타 공동주택,47,-,1,0.02,36671,780.2
2017,기타주택,소계,21,1,1,0.1,115628,5506.1
2017,기타주택,비닐하우스,7,-,1,0.14,37167,5309.6
2017,기타주택,컨테이너(주거용),1,-,-,-,4925,4925
2017,기타주택,기타 주택,13,1,-,0.08,73536,5656.6
2018,단독주택,소계,1073,16,64,0.07,1547913,1442.6
2018,단독주택,단독주택,284,3,14,0.06,387415,1364.1
2018,단독주택,다중주택,63,1,5,0.1,67582,1072.7
2018,단독주택,다가구주택,616,6,32,0.06,791001,1284.1
2018,단독주택,상가주택,91,4,8,0.13,139830,1536.6
2018,단독주택,기타 단독주택,19,2,5,0.37,162085,8530.8
2018,공동주택,소계,1669,12,94,0.06,2605442,1561.1
2018,공동주택,아파트,788,10,48,0.07,1584843,2011.2
2018,공동주택,주상복합아파트,79,-,16,0.2,210699,2667.1
2018,공동주택,연립주택,122,1,5,0.05,176774,1449
2018,공동주택,다세대주택,620,1,24,0.04,564283,910.1
2018,공동주택,기숙사,2,-,-,-,2033,1016.5
2018,공동주택,기타 공동주택,58,-,1,0.02,66810,1151.9
2018,기타주택,소계,22,-,2,0.09,104876,4767.1
2018,기타주택,비닐하우스,4,-,-,-,24791,6197.8
2018,기타주택,기타 주택,18,-,2,0.11,80085,4449.2
2019,단독주택,소계,983,12,63,0.08,1990187,2024.6
2019,단독주택,단독주택,252,1,21,0.09,674742,2677.5
2019,단독주택,다중주택,74,-,1,0.01,87016,1175.9
2019,단독주택,다가구주택,554,10,34,0.08,861327,1554.7
2019,단독주택,상가주택,85,-,6,0.07,325045,3824.1
2019,단독주택,기타 단독주택,18,1,1,0.11,42057,2336.5
2019,공동주택,소계,1409,11,89,0.07,2511671,1782.6
2019,공동주택,아파트,633,3,53,0.09,1313030,2074.3
2019,공동주택,주상복합아파트,68,-,2,0.03,109631,1612.2
2019,공동주택,연립주택,129,1,2,0.02,180993,1403
2019,공동주택,다세대주택,514,7,32,0.08,832592,1619.8
2019,공동주택,기숙사,2,-,-,-,314,157
2019,공동주택,기타 공동주택,63,-,-,-,75111,1192.2
2019,기타주택,소계,30,-,8,0.27,3969890,132329.7
2019,기타주택,비닐하우스,3,-,-,-,29487,9829
2019,기타주택,컨테이너(주거용),1,-,-,-,9141,9141
2019,기타주택,기타 주택,26,-,8,0.31,3931262,151202.4
