기간,소방서,연막소득,연기로,타는냄새로,방화기도,경보오동작,기타
2017,종로소방서,5,28,15,-,1,27
2017,중부소방서,5,33,13,-,9,30
2017,광진소방서,3,9,10,-,1,7
2017,용산소방서,2,38,12,-,-,4
2017,동대문소방서,10,29,19,-,1,8
2017,영등포소방서,2,47,33,-,7,7
2017,성북소방서,7,17,25,-,4,18
2017,은평소방서,-,48,38,-,2,5
2017,강남소방서,9,139,94,-,24,52
2017,서초소방서,3,69,55,1,4,19
2017,강서소방서,7,53,23,-,11,32
2017,강동소방서,6,48,22,-,18,16
2017,마포소방서,5,94,30,-,7,22
2017,도봉소방서,3,18,19,-,4,24
2017,구로소방서,11,104,52,-,32,28
2017,노원소방서,3,13,5,-,1,8
2017,관악소방서,8,77,94,-,8,26
2017,송파소방서,5,126,87,-,17,26
2017,양천소방서,1,15,6,-,2,6
2017,중랑소방서,2,8,4,-,1,4
2017,동작소방서,2,24,15,-,2,4
2017,서대문소방서,2,50,25,-,6,26
2017,강북소방서,1,4,1,-,-,2
2017,성동소방서,3,3,1,-,-,6
2018,종로소방서,8,38,23,-,3,29
2018,중부소방서,1,42,11,-,17,43
2018,광진소방서,3,36,25,1,10,14
2018,용산소방서,1,59,34,-,3,12
2018,동대문소방서,3,46,22,-,5,49
2018,영등포소방서,2,72,36,-,14,25
2018,성북소방서,12,45,40,-,9,31
2018,은평소방서,2,53,53,-,4,11
2018,강남소방서,5,255,119,1,44,87
2018,서초소방서,4,70,54,-,9,52
2018,강서소방서,5,70,28,-,15,26
2018,강동소방서,11,68,30,1,21,46
2018,마포소방서,7,148,67,-,22,43
2018,도봉소방서,5,22,21,-,5,28
2018,구로소방서,3,85,55,-,27,27
2018,노원소방서,2,29,19,-,7,22
2018,관악소방서,10,87,86,-,29,38
2018,송파소방서,1,180,76,-,23,47
2018,양천소방서,1,30,25,-,13,28
2018,중랑소방서,3,44,28,-,9,21
2018,동작소방서,3,31,20,-,6,21
2018,서대문소방서,4,74,49,-,9,27
2018,강북소방서,2,24,17,-,-,14
2018,성동소방서,-,20,10,-,3,11
2019,종로소방서,7,35,17,-,2,25
2019,중부소방서,3,44,7,-,9,21
2019,광진소방서,2,56,50,-,12,32
2019,용산소방서,4,68,22,-,8,40
2019,동대문소방서,7,103,54,-,11,36
2019,영등포소방서,6,101,55,-,19,67
2019,성북소방서,10,46,27,-,4,36
2019,은평소방서,3,41,48,-,7,16
2019,강남소방서,12,204,113,-,40,100
2019,서초소방서,10,137,56,-,28,96
2019,강서소방서,9,81,85,-,13,43
2019,강동소방서,3,84,60,-,18,50
2019,마포소방서,8,151,65,-,18,38
2019,도봉소방서,4,20,23,-,12,61
2019,구로소방서,6,237,82,-,45,66
2019,노원소방서,4,35,38,1,12,28
2019,관악소방서,2,115,108,-,23,40
2019,송파소방서,3,173,99,2,28,40
2019,양천소방서,3,47,45,-,12,26
2019,중랑소방서,3,59,31,-,11,43
2019,동작소방서,2,62,44,-,9,32
2019,서대문소방서,6,37,21,-,8,24
2019,강북소방서,2,32,18,-,4,24
2019,성동소방서,7,46,20,1,11,26
