기간,지역,월별,발생합계,발생 실화,발생 방화,발생기타,소실 동수(동),소실 이재가구수(가구),소실 면적(㎡),부동산 피해액,동산 피해액,재산피해경감액,사망자,부상자,이재민수,구조인원
2019,합계,계,"5,881","5,251",136,494,773,171,"32,220.91","12,331,390","80,077,620","384,176,624",37,361,318,921
2019,합계,1월,600,529,19,52,98,40,"2,571.53","580,112","1,186,693","23,900,245",4,38,64,143
2019,합계,2월,414,360,14,40,62,16,"1,485.30","403,239","1,141,894","32,910,244",4,22,19,61
2019,합계,3월,501,448,11,42,85,-,"6,851.01","1,613,428","3,216,270","24,434,210",2,26,5,48
2019,합계,4월,480,426,14,40,63,19,"3,760.86","520,351","841,108","44,562,166",5,19,73,98
2019,합계,5월,590,532,11,47,81,8,"1,600.70","443,880","601,816","22,456,785",8,26,10,57
2019,합계,6월,476,439,6,31,69,4,"3,300.78","783,075","787,023","32,648,018",1,18,11,51
2019,합계,7월,511,464,5,42,57,3,"1,339.50","424,506","568,517","28,392,309",2,49,18,117
2019,합계,8월,491,446,12,33,65,5,"2,205.10","871,658","1,328,799","28,419,885",2,30,15,163
2019,합계,9월,474,427,14,33,44,6,"3,940.92","4,810,388","67,942,313","40,597,266",2,29,13,34
2019,합계,10월,441,384,13,44,49,8,"1,624.28","580,803","1,040,605","29,196,941",3,33,22,63
2019,합계,11월,441,389,8,44,45,39,"1,743.38","605,309","755,021","38,070,925",2,46,42,23
2019,합계,12월,462,407,9,46,55,23,"1,797.55","694,641","667,561","38,587,630",2,25,26,63
2019,종로구,계,232,201,7,24,3,2,"1,001","403,054","398,040","22,189,709",4,16,17,23
2019,종로구,1월,25,23,2,-,-,-,3,"2,157","12,417","365,363",1,1,-,-
2019,종로구,2월,17,13,-,4,-,-,126.5,"67,565","133,199","4,768,357",1,-,-,1
2019,종로구,3월,16,14,-,2,-,-,45.5,"17,471","37,444","2,287,040",-,-,-,-
2019,종로구,4월,17,13,-,4,-,-,107,"34,167","15,937","448,369",-,1,-,-
2019,종로구,5월,22,20,-,2,-,1,227,"87,424","40,217","618,470",-,4,2,2
2019,종로구,6월,20,19,-,1,-,-,91,"79,748","50,470","1,222,565",-,3,-,1
2019,종로구,7월,26,23,1,2,-,1,90,"15,039","24,823","133,622",1,-,15,-
2019,종로구,8월,17,16,1,-,-,-,4,"4,795","2,021","104,496",1,-,-,1
2019,종로구,9월,20,19,-,1,-,-,49,"7,778","10,367","398,387",-,2,-,2
2019,종로구,10월,20,16,1,3,3,-,238,"81,506","45,785","179,863",-,3,-,13
2019,종로구,11월,14,10,2,2,-,-,2,"2,318","7,787","6,078,183",-,1,-,1
2019,종로구,12월,18,15,-,3,-,-,18,"3,086","17,573","5,584,994",-,1,-,2
2019,중구,계,213,186,8,19,49,5,"4,639.83","5,135,961","68,941,136","23,570,206",3,17,11,29
